"city","area","population","weighted_density","n_per_hex","H_X","H_Y","I_XY","local.H_Y","J","weighted_J"
"New Haven-Milford",1630.75779486455,885086,1922.66120662931,2.52397602397602,6.34803730846183,1.07922211669805,0.318669035381439,0.850804667347085,0.185667958862052,0.376985819321523
"Milwaukee-Waukesha-West Allis",4051.69455268589,1605850,2311.15451181116,2.23584331236046,7.07701194614734,1.03764465429097,0.447068832161746,0.671963457503555,0.111005520214859,0.32388894422981
"Miami-Fort Lauderdale-West Palm Beach",9791.54880199357,5886136,3984.93932476296,1.932238037553,7.98359937787587,1.23126578875732,0.448363266190424,0.988269164880913,0.109539617081487,0.249641852957262
"McAllen-Edinburg-Mission",3499.92525805483,812596,1271.4143847369,1.51164415463437,5.63770045617668,0.370027047165146,0.0953265948991567,0.299453722652754,0.0378795827095454,0.132400714310423
"Los Angeles-Long Beach-Anaheim",11432.8605923166,13559279,6086.36905670895,2.85830595629196,8.89592259906257,1.32123834037241,0.410291922561425,0.984257059253395,0.145707963444478,0.356466301925903
"Lancaster",2536.89655200981,536843,1434.25583102619,1.82062055591467,5.69324483904469,0.672866276638901,0.188684322053647,0.542592561630242,0.0684779832816263,0.189636694366246
"Houston-The Woodlands-Sugar Land",19293.1488436762,6337463,2365.0588036136,1.75777045350244,7.78046431005702,1.31962430423669,0.382937314158446,0.922772109549549,0.126034436788042,0.219577125151054
"Hartford-West Hartford-East Hartford",4097.12754073935,1251244,1552.32663978272,2.07600477516912,6.68359844548923,1.02431962934688,0.332806835440431,0.777324400715556,0.141454034255835,0.308522646810118
"Flint",1741.66466262597,430760,830.294946431262,2.01423149905123,5.79175059465733,0.88401608214746,0.335117270806092,0.617718981650848,0.140192587709104,0.298668722742022
"Detroit-Warren-Dearborn",10750.9425779665,4391692,1654.78838831441,2.27507228732309,8.07483331968015,0.996561719152045,0.440646128753681,0.633518985194343,0.126195010387059,0.327714696501168
"Dayton",3324.17531301916,821586,1246.47094284086,1.89780301160207,6.29691648651494,0.813987570498719,0.286758900073112,0.580387581148534,0.0926916434709736,0.24796135623957
"Dallas-Fort Worth-Arlington",22595.4093091355,6887293,2237.96089905068,1.83726312744105,8.19538082412951,1.27974390191663,0.36848514084636,1.00119787587302,0.11931379002637,0.383827805172515
"Cleveland-Elyria",5302.57109504074,2115961,1719.4358936817,2.2479530356867,7.29340572420749,0.930410054933003,0.39044818113556,0.611256027340507,0.115195114873481,0.290105019565879
"Cincinnati",10768.559103856,2173111,1253.52761410082,1.80176144560018,7.20506279625849,0.742469086412703,0.266923713801756,0.548518186648419,0.0750781366266544,0.290104579780257
"Chicago-Naperville-Elgin",19207.5207442663,9726748,4041.57899678151,2.17066609735269,8.66114076291392,1.23839444900443,0.507537872236768,0.825318677469204,0.132093843918976,0.387497552356059
"Cape Coral-Fort Myers",1882.98569906339,657838,998.479102562339,2.16603931409452,6.02153374596181,0.93113600039327,0.274914291861725,0.72354436357028,0.155767374170747,0.248211809510128
"Buffalo-Cheektowaga-Niagara Falls",4285.34862513105,1160393,1862.29583126758,1.95991561181435,6.73969899040461,0.816058478783647,0.330292947418143,0.574878893419032,0.110368630596736,0.348130667171434
"Brownsville-Harlingen",2060.61018724276,419163,1599.60095166936,1.53849014503533,5.19688181518098,0.422911622405746,0.0982028023932561,0.524527921842492,0.0402989416662856,0.0681119008704787
"Bridgeport-Stamford-Norwalk",1708.99195732879,956445,2396.39689949491,2.53422053231939,6.40107369562931,1.09551594316329,0.31807578451216,0.881277197116311,0.168063227917686,0.342188903682246
"Bremerton-Silverdale",1250.83677009594,269384,1137.72542342656,1.79728857327308,5.03565978710899,0.904774366130637,0.105576506938154,0.788301457376733,0.0986457830501875,0.103166625438186
"Boston-Cambridge-Newton",9730.76935198793,4789577,3948.32079323311,2.35083770942736,8.02824404758992,0.978507969068379,0.324318356022488,0.69882804431465,0.126379713238647,0.316524720404657
"Baltimore-Columbia-Towson",6814.83822975271,2825758,2684.91299734257,2.1350230960559,7.4295232932566,1.11956582988941,0.385871253287757,0.78074927674247,0.132888372924954,0.361635442262055
"Atlanta-Sandy Springs-Roswell",20976.3471157975,5572488,1125.28519087529,1.77150422491336,7.70805043390613,1.22912748365939,0.387406488204906,0.90974870049084,0.129329694225698,0.291745063103167
"Allentown-Bethlehem-Easton",3848.0994143905,847440,1979.52118994592,1.84509137271568,6.25157871118437,0.843418523449204,0.230723041602977,0.677813005376222,0.0750253691640265,0.244674635097193
"Akron",2425.89332746312,720202,1169.09548632766,2.01256793478261,6.19392304220717,0.730476466938097,0.230918290010106,0.573046476965802,0.105996291963174,0.281372384578159
