density,info,entropy,n
3194.90991572935,0.293667306745152,0.404470439480477,5
2209.46593999021,0.253941709345805,0.479296564742918,5
2689.61751392926,0.328225797724826,0.336845805877946,6
3624.90417505158,0.234338059993692,0.242450517230432,11
3414.98416192921,0.642175965308996,0.4115485272004,7
3471.61111490992,0.577009373124205,0.300638634010106,8
3807.9209504468,0.360038948261692,0.379019862282829,6
1349.19670959015,1.15488368912579,0.682669869773149,3
3866.37669409558,0.539484622439315,0.613761901533875,5
4249.77186762497,0.696965438715663,0.876915920762527,7
10094.5069398577,0.891478308603036,1.27971962773515,15
5339.75502548189,0.986114126590289,0.845850474937063,10
6673.83416083478,0.446695125014868,0.305699046203464,12
5908.53587107592,0.519442348473239,0.279933229233831,6
6463.17176105831,0.379726305385897,0.726063091850024,8
6506.1237406761,0.348240286551795,0.52688962838271,13
4288.17573278229,0.256421534238299,0.5522502733865,8
3413.9030079894,0.204110324759447,0.472845363839566,5
3275.99943150698,0.253771544875369,0.358445692847423,6
3323.09987554747,0.16446670748841,0.404761232847502,6
3334.44925449013,0.226460194627931,0.284734799104703,8
4581.00836723309,0.249050604285774,0.277193016956516,9
4382.26723457077,0.549655081435317,0.355414078894827,9
5605.38774762614,0.538495517466871,0.332247847170065,11
2900.27135800405,1.60522190307246,0.999116160851619,4
3077.03884351423,0.698329623604417,0.862046608707833,8
5021.10073822475,0.585862470424351,0.66662445471095,11
8737.28059177773,0.458290575388502,1.08011884691334,11
7194.55990782285,1.56087162442804,1.17701536188317,11
5440.04695596945,0.943625044256894,0.789610880887105,10
4791.21854073092,0.501798061145599,0.58719965788102,4
1009.17171788609,0.531905951959567,0.992451658444301,4
1652.59075075952,0.540452784174802,0.871639162761046,5
3852.77756362735,0.60537900725595,0.912700953200862,8
3366.9935011967,0.536642669986336,0.896855729899164,8
3082.01229733311,0.39109719534712,0.521975518178368,9
3911.84531103847,0.0909961536799304,0.289659120641164,6
2756.34719133464,0.0662065295302255,0.416280881963922,3
2674.57390204624,0.179385268174238,0.410965389191676,6
5233.42271368911,0.33473605304093,0.382917882703964,10
5721.28151288937,0.372309529053725,0.308934783159769,11
5156.06856740622,0.205989803549608,0.158814695112053,12
5286.50715612979,0.709418229888533,0.295023626216504,6
2943.62570931331,0.841660801655541,1.11743382743924,8
4247.1893393398,0.738873792885963,0.985120951624323,9
5199.78247064793,0.527653183839373,0.831964923410165,9
4618.4889768645,0.446715030187646,0.908414831834959,6
5468.55539699343,0.630179331575338,0.573761869770928,15
5698.769770619,0.331640087652111,0.364819653575782,10
4128.59088439797,0.457487977050063,0.468931662057786,6
2850.32349143217,1.07162631931717,0.989376670522065,7
3092.85039105721,0.656152465398069,0.976456425471684,10
3570.609833065,0.70567534676491,0.90379029913199,11
3332.59525949678,0.432714379239198,0.755399966961597,8
3593.30228599397,0.632746026638952,0.703482167893303,7
3342.74884825405,0.998721829200748,0.793990258001048,5
3821.26115899739,1.1652410582366,0.730053116470894,8
4918.34556442701,0.564937458637597,0.502176984703507,10
4818.97057069247,0.471055697336502,0.332594988006835,10
2557.89173439449,0.845412340517351,0.56441882385285,6
972.443155411538,1.13359858304593,0.892066364365807,3
1451.75742233933,0.371995858877336,0.649862328886726,4
1729.36395003631,0.507388266177567,0.676618109900245,6
2982.11743297272,0.686463716310367,1.10551778101495,6
4216.01148347515,1.44281637410451,0.828857911240637,11
4920.21409125059,0.301782779009122,0.355958869619772,12
5147.9651367885,0.215467560420764,0.38170390201223,9
3491.77392533325,0.397065923920085,0.567272532884867,8
3228.54856863145,0.926904153353015,0.95527176531011,10
2909.8215779317,0.451379294836293,0.941313640527541,7
2919.60400891887,0.593648134462567,0.894663046945987,9
3066.40428518147,0.422263704995661,0.946270189986519,7
3391.56738888866,0.3020725196181,0.989146374966392,4
4837.89316738528,0.578498506377742,0.830935519160397,5
4272.84079135142,0.408572100000256,0.916008874149113,4
3373.93172263439,0.982381747137046,0.887001347293749,8
2295.2379516316,1.1232245853026,0.861027881695322,7
1110.91915017413,1.67872689049299,0.754798164254106,5
782.457558014031,1.04463412836849,0.782311072966697,5
931.12900733597,1.08757423253865,0.793396791408086,5
1127.20385349862,0.758558627199222,0.590271685728763,4
1656.74390553414,0.664245243209726,0.776670727739878,6
3112.22723319639,0.637525465173171,1.13329756145935,5
3775.8245629108,1.08637525818396,0.80283393553091,9
4637.36974859468,0.569646673438609,0.457855039883244,9
3883.70930915357,0.29784847183782,0.502660642612224,7
3435.75304016237,0.329738588456183,0.623643550972594,5
2890.31749434448,0.509169474723937,0.868063596615857,7
2646.54399573531,0.480848076006782,0.814498623639105,7
2712.6218313498,0.409820140811696,0.892683116265268,6
2556.29665922323,0.408885362434138,1.04820907774032,4
4031.16852323188,0.561847191073381,0.948165900093086,8
5098.18456929071,0.295769123378571,0.803479654674691,5
3818.75025345405,0.232375147595877,0.75906424897821,6
1571.27538718015,0.654168622159172,0.778049373873049,7
967.562794373398,0.238497135800915,0.518281511637919,4
757.853695126968,0.451434299956448,0.734637390796874,4
977.051410768544,0.513806682180834,0.541122743845859,2
1431.89296003718,0.263460412343439,0.790128209728495,3
2087.39908560796,0.525635740941147,0.816031178219482,4
3543.77437963694,0.735419948330542,1.03201825037827,6
5085.54876328068,0.950750588552331,0.881126501934965,10
5021.23548073797,0.618304139130493,0.732291732634889,9
4253.28254884817,0.227417911105211,0.693776633541492,4
3771.22770707488,0.53934621322977,0.584973563051105,6
3362.79106366673,1.17256957834107,0.886987583648261,6
2718.11706035993,0.433920163603233,0.817325544670825,7
2391.05143381699,0.375015308422227,0.908967056178995,4
723.406321414805,0,0.448571311711224,1
